Dataset,Trial_1,Trial_1_params,Trial_2,Trial_2_params,Trial_3,Trial_3_params,Trial_4,Trial_4_params,Trial_5,Trial_5_params,Trial_6,Trial_6_params,Trial_7,Trial_7_params,Trial_8,Trial_8_params,Trial_9,Trial_9_params,Trial_10,Trial_10_params,Trial_11,Trial_11_params,Trial_12,Trial_12_params,Trial_13,Trial_13_params,Trial_14,Trial_14_params,Trial_15,Trial_15_params,Trial_16,Trial_16_params,Trial_17,Trial_17_params,Trial_18,Trial_18_params,Trial_19,Trial_19_params,Trial_20,Trial_20_params,Trial_21,Trial_21_params,Trial_22,Trial_22_params,Trial_23,Trial_23_params
ECGFiveDays,,,,,,,,,,,0.502903600464576,,0.4970963995354239,,0.4970963995354239,,0.502903600464576,,0.502903600464576,,0.4970963995354239,,0.4970963995354239,,0.7560975609756098,,0.502903600464576,,0.502903600464576,,0.5063879210220673,,0.4970963995354239,,0.502903600464576,,0.4192799070847851,,0.502903600464576,,0.4959349593495935,,0.502903600464576,,0.502903600464576,
EOGHorizontalSignal,,,,,,,,,,,0.0883977900552486,,0.1408839779005525,,0.0828729281767955,,0.1629834254143646,,0.1077348066298342,,0.074585635359116,,0.1988950276243093,,0.2403314917127071,,0.0469613259668508,,0.0331491712707182,,0.1933701657458563,,0.2900552486187845,,0.1767955801104972,,0.1077348066298342,,0.1132596685082873,,0.0939226519337016,,0.2845303867403315,,0.1602209944751381,
EOGVerticalSignal,,,,,,,,,,,0.1823204419889502,,0.0662983425414364,,0.0497237569060773,,0.1767955801104972,,0.0469613259668508,,0.0690607734806629,,0.292817679558011,,0.2486187845303867,,0.0552486187845303,,0.0607734806629834,,0.1906077348066298,,0.1850828729281768,,0.1077348066298342,,0.1160220994475138,,0.0883977900552486,,0.0828729281767955,,0.223756906077348,,0.1629834254143646,
Earthquakes,,,,,,,,,,,0.6834532374100719,,0.2446043165467626,,0.7482014388489209,,0.7482014388489209,,0.7194244604316546,,0.7482014388489209,,0.7482014388489209,,0.7482014388489209,,0.7482014388489209,,0.5611510791366906,,0.7482014388489209,,0.7482014388489209,,0.7482014388489209,,0.7482014388489209,,0.7482014388489209,,0.7338129496402878,,0.7482014388489209,,0.7482014388489209,
ElectricDevices,,,,,,,,,,,0.5621838931396707,,0.5848787446504993,,0.1330566722863441,,0.6460900012968487,,0.5156270263260277,,0.6185968097523019,,0.5930488911943976,,0.5690571910258073,,0.5322266891453767,,0.3598755025288548,,0.4772403060562832,,0.5857865387109324,,0.5863052781740371,,0.5049928673323824,,0.4016340293087796,,0.3982622227985994,,0.4218648683698612,,0.5615354688107898,
EthanolLevel,,,,,,,,,,,0.376,,0.286,,0.328,,0.268,,0.26,,0.236,,0.298,,0.31,,0.306,,0.268,,0.284,,0.342,,0.384,,0.278,,0.258,,0.214,,0.27,,0.31,
FaceAll,,,,,,,,,,,0.1124260355029585,,0.0781065088757396,,0.0905325443786982,,0.144378698224852,,0.0763313609467455,,0.008284023668639,,0.578698224852071,,0.5023668639053255,,0.2313609467455621,,0.1485207100591715,,0.5911242603550296,,0.3124260355029585,,0.2455621301775148,,0.1597633136094674,,0.0905325443786982,,0.0177514792899408,,0.4526627218934911,,0.4289940828402367,
FaceFour,,,,,,,,,,,0.25,,0.2954545454545454,,0.2954545454545454,,0.0568181818181818,,0.25,,0.1590909090909091,,0.2386363636363636,,0.1136363636363636,,0.2954545454545454,,0.2954545454545454,,0.2386363636363636,,0.2954545454545454,,0.1590909090909091,,0.1590909090909091,,0.25,,0.1590909090909091,,0.2954545454545454,,0.2954545454545454,
FacesUCR,,,,,,,,,,,0.0795121951219512,,0.1141463414634146,,0.0760975609756097,,0.064390243902439,,0.0702439024390244,,0.06,,0.1741463414634146,,0.2497560975609756,,0.144390243902439,,0.1195121951219512,,0.3780487804878049,,0.2058536585365853,,0.1312195121951219,,0.2878048780487804,,0.1190243902439024,,0.0609756097560975,,0.1775609756097561,,0.133170731707317,
FiftyWords,,,,,,,,,,,0.0571428571428571,,0.0109890109890109,,0.0131868131868131,,0.0285714285714285,,0.0549450549450549,,0.0197802197802197,,0.1406593406593406,,0.178021978021978,,0.0549450549450549,,0.0087912087912087,,0.2659340659340659,,0.1186813186813186,,0.1054945054945055,,0.0989010989010989,,0.0967032967032967,,0.0549450549450549,,0.2549450549450549,,0.2659340659340659,
Fish,,,,,,,,,,,0.1314285714285714,,0.1885714285714285,,0.1657142857142857,,0.1714285714285714,,0.0742857142857142,,0.1257142857142857,,0.28,,0.3485714285714286,,0.1142857142857142,,0.1085714285714285,,0.2,,0.2,,0.24,,0.1885714285714285,,0.1085714285714285,,0.1371428571428571,,0.3257142857142857,,0.3714285714285714,
FordA,,,,,,,,,,,0.8901515151515151,,0.6871212121212121,,0.703030303030303,,0.7424242424242424,,0.6742424242424242,,0.6515151515151515,,0.75,,0.7159090909090909,,0.7901515151515152,,0.6931818181818182,,0.6439393939393939,,0.718939393939394,,0.7643939393939394,,0.7174242424242424,,0.4242424242424242,,0.7765151515151515,,0.6272727272727273,,0.7628787878787879,
FordB,,,,,,,,,,,0.6345679012345679,,0.5382716049382716,,0.5456790123456791,,0.5839506172839506,,0.5382716049382716,,0.5259259259259259,,0.5987654320987654,,0.5925925925925926,,0.5753086419753086,,0.5271604938271605,,0.6382716049382716,,0.7098765432098766,,0.562962962962963,,0.6,,0.5308641975308642,,0.5753086419753086,,0.6024691358024692,,0.5135802469135803,
FreezerRegularTrain,,,,,,,,,,,0.2203508771929824,,0.5,,0.5,,0.2221052631578947,,0.6936842105263158,,0.2094736842105263,,0.7684210526315789,,0.7726315789473684,,0.763859649122807,,0.2147368421052631,,0.7747368421052632,,0.776140350877193,,0.7698245614035087,,0.7750877192982456,,0.2452631578947368,,0.7719298245614035,,0.7649122807017544,,0.7782456140350877,
FreezerSmallTrain,,,,,,,,,,,0.5,,0.2498245614035087,,0.5,,0.5,,0.5,,0.5,,0.2424561403508772,,0.5,,0.5,,0.5,,0.516140350877193,,0.5,,0.5017543859649123,,0.5,,0.5,,0.4975438596491228,,0.5,,0.476140350877193,
GunPoint,,,,,,,,,,,0.5066666666666667,,0.2533333333333333,,0.4933333333333333,,0.3533333333333333,,0.4933333333333333,,0.4933333333333333,,0.5066666666666667,,0.8,,0.4933333333333333,,0.5066666666666667,,0.4933333333333333,,0.4933333333333333,,0.5066666666666667,,0.4933333333333333,,0.4933333333333333,,0.4666666666666667,,0.4933333333333333,,0.4933333333333333,
